City,Country,Date,AQI,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Wind_Speed
Johannesburg,South Africa,2023-01-12,81.3,37.4,57.0,3.08,9.3,28.8,4.7,31.6,76.4,11.4
Dhaka,Bangladesh,2024-06-06,166.6,98.8,,3.22,42.6,50.0,14.3,7.5,68.2,10.5
Sydney,Australia,2021-05-29,96.6,48.6,89.3,2.94,26.7,51.7,9.8,21.0,76.2,14.5
Los Angeles,USA,2017-02-07,124.6,67.9,92.7,3.91,31.1,38.7,10.0,32.7,25.4,13.3
Berlin,Germany,2015-09-16,60.1,34.7,67.9,3.49,11.0,61.4,5.1,7.5,94.8,11.4
Istanbul,Turkey,2017-02-20,124.4,62.5,81.5,2.55,12.8,25.5,10.3,14.7,41.0,8.9
Karachi,Pakistan,2024-03-04,189.4,88.4,172.1,2.3,56.3,53.2,27.1,-4.8,76.1,13.6
Mumbai,India,2019-04-23,175.1,119.1,200.0,2.78,22.5,20.0,22.9,-1.1,67.5,13.8
Istanbul,Turkey,2021-09-16,68.9,41.3,56.0,3.14,9.1,64.2,5.5,15.9,65.0,3.0
Tehran,Iran,2018-04-27,171.2,76.6,136.5,0.9,31.7,34.8,21.4,6.8,86.1,13.4
Stockholm,Sweden,2016-08-14,5.0,2.9,4.0,2.14,1.2,59.6,0.6,7.7,48.4,2.0
Paris,France,2015-03-28,104.1,49.4,75.4,1.87,10.9,40.5,13.6,35.4,58.9,7.1
Mumbai,India,2015-08-16,181.0,120.2,157.3,4.74,35.8,40.5,25.8,-3.9,63.6,8.5
São Paulo,Brazil,2023-07-02,136.8,84.5,109.9,4.7,18.2,34.0,10.4,-3.3,29.2,14.8
Los Angeles,USA,2018-04-13,28.5,12.4,17.0,3.68,7.7,35.4,1.5,5.0,24.2,2.0
Delhi,India,2015-08-05,182.8,87.0,170.4,,,41.3,16.1,13.5,74.6,7.0
Lima,Peru,2020-10-24,28.1,19.2,29.4,2.94,3.3,32.0,2.6,,85.7,2.8
Delhi,India,2020-04-06,227.7,117.3,223.8,2.97,42.8,24.0,22.0,31.9,66.1,12.6
Sydney,Australia,2016-01-26,61.3,41.3,,3.34,9.2,70.2,6.2,1.1,62.8,6.4
Mumbai,India,2020-03-11,173.2,84.3,110.5,3.0,31.3,42.5,11.8,14.4,93.8,4.8
Toronto,Canada,2018-07-11,68.7,43.5,79.4,1.85,15.3,72.3,3.5,14.6,36.8,6.1
Cairo,Egypt,2015-06-15,118.4,65.6,111.2,2.62,29.2,43.0,17.1,16.7,62.8,12.5
Istanbul,Turkey,2017-01-28,102.0,43.1,77.4,2.57,28.5,79.0,9.2,13.7,50.6,5.2
Berlin,Germany,2020-10-03,38.0,15.7,,1.67,10.0,25.3,5.0,25.1,74.9,6.8
Jakarta,Indonesia,2020-08-10,168.4,98.1,180.4,2.4,32.8,58.6,10.2,14.6,92.9,1.0
Johannesburg,South Africa,2023-07-20,120.9,52.2,90.8,0.75,14.4,63.7,10.0,39.0,22.8,7.0
Berlin,Germany,2015-05-07,5.0,2.5,5.1,4.48,0.5,53.8,0.6,4.4,30.9,13.6
Los Angeles,USA,2015-06-07,18.2,8.2,11.1,3.56,4.7,69.6,2.6,34.6,95.0,4.0
Lima,Peru,2022-07-21,114.0,65.7,97.4,4.91,31.9,27.7,6.0,26.0,65.3,14.1
Karachi,Pakistan,2023-04-23,164.0,66.5,88.1,,27.9,44.6,8.5,7.2,80.4,9.4
Lahore,Pakistan,2020-11-08,159.6,85.3,129.3,2.57,26.3,70.3,12.7,,30.3,10.5
Nairobi,Kenya,2016-12-16,114.2,78.6,136.7,1.52,18.1,62.3,14.1,8.7,45.9,14.9
Bangkok,Thailand,2018-06-26,162.0,84.5,113.5,4.16,19.2,60.4,9.0,25.3,83.2,6.3
Tehran,Iran,2017-10-10,91.6,58.7,87.5,3.7,12.9,35.0,7.7,21.5,54.1,11.3
Beijing,China,2022-12-26,136.1,,101.2,4.16,15.2,56.7,12.0,30.7,85.6,12.8
Lahore,Pakistan,2015-03-23,194.3,108.8,145.5,2.45,56.0,73.3,11.7,28.5,80.4,4.4
Delhi,India,2019-01-19,162.0,99.4,159.7,0.83,39.1,74.7,18.7,,,3.2
Karachi,Pakistan,2015-03-27,232.7,111.0,218.1,1.1,68.2,20.9,22.8,10.0,53.7,8.8
Beijing,China,2023-08-13,184.7,96.8,175.6,3.52,49.2,35.0,20.5,21.3,47.7,7.5
Johannesburg,South Africa,2024-10-18,79.0,34.1,60.6,3.41,22.9,63.8,4.4,34.8,84.7,6.9
Lima,Peru,2018-05-29,61.2,42.4,70.9,4.56,7.1,31.5,5.8,,81.2,14.8
London,UK,2024-05-09,7.0,3.8,7.0,3.92,1.4,38.3,1.0,24.9,50.6,4.6
Jakarta,Indonesia,2019-05-28,133.2,62.9,89.4,2.79,21.0,57.7,8.2,24.5,41.2,0.5
Los Angeles,USA,2022-05-06,77.1,44.9,89.0,2.06,18.2,23.8,6.9,38.4,60.4,4.7
Wuhan,China,2019-07-19,138.8,84.8,148.6,2.06,40.3,21.3,11.2,36.4,44.1,4.2
Berlin,Germany,2020-05-23,59.2,30.5,48.2,3.98,17.3,27.6,5.4,16.6,48.2,5.8
Johannesburg,South Africa,2022-12-20,64.2,38.9,62.4,1.22,16.9,68.2,6.3,8.4,67.9,4.7
Mumbai,India,2020-07-09,166.8,113.6,189.0,2.01,45.8,43.7,13.9,4.3,48.3,5.1
Bangkok,Thailand,2022-07-27,82.1,40.0,68.1,0.61,11.4,44.4,11.8,12.0,69.8,4.2
Delhi,India,2015-11-15,211.9,136.3,270.7,4.65,59.2,63.9,18.4,-0.2,71.6,14.7
Nairobi,Kenya,2021-06-03,77.2,52.4,97.7,1.07,11.6,40.5,5.2,21.2,93.2,11.5
Istanbul,Turkey,2016-01-25,34.7,15.0,24.2,1.49,9.8,26.1,1.9,-4.8,44.6,10.1
Beijing,China,2023-02-04,169.2,90.7,161.3,1.99,39.5,22.4,15.1,30.6,80.2,10.9
Seoul,South Korea,2021-04-10,73.6,34.1,56.2,2.54,20.6,22.1,6.0,21.8,65.4,7.5
Chengdu,China,2024-04-21,135.5,56.7,106.2,2.63,17.2,73.1,15.6,2.4,22.5,2.5
Los Angeles,USA,2021-07-28,38.9,15.9,28.7,4.11,10.1,27.7,5.5,25.3,87.3,7.0
Stockholm,Sweden,2024-12-12,11.2,7.1,9.7,2.75,3.0,69.8,1.6,26.4,35.6,0.8
Wuhan,China,2015-05-17,111.6,48.8,83.5,3.89,33.3,65.5,14.4,22.7,93.9,9.8
Seoul,South Korea,2015-05-26,87.6,59.9,116.8,2.09,10.1,30.3,4.9,-0.3,33.8,5.4
Chengdu,China,2024-05-30,132.1,79.5,142.5,2.93,37.1,26.7,8.9,14.3,29.5,8.7
Buenos Aires,Argentina,2016-05-25,85.5,41.5,58.9,1.88,18.9,54.5,5.7,0.6,22.0,0.7
Delhi,India,2017-11-20,195.6,127.2,209.0,3.88,52.2,40.9,27.2,16.2,59.6,15.0
Bangkok,Thailand,2019-02-05,97.8,49.8,65.0,3.24,23.6,59.0,14.4,33.8,53.7,1.4
Buenos Aires,Argentina,2015-11-04,92.1,51.7,84.2,1.68,14.3,50.0,6.1,10.3,44.3,9.0
Johannesburg,South Africa,2022-05-23,137.5,89.3,151.2,3.45,33.1,37.5,13.3,38.0,,14.6
Berlin,Germany,2022-08-19,5.0,2.4,4.5,2.02,0.8,71.0,0.7,11.0,82.4,12.8
Karachi,Pakistan,2022-02-25,200.5,84.2,109.6,2.76,33.9,79.8,25.5,29.3,91.6,13.4
Mumbai,India,2022-09-16,195.4,100.3,163.6,,55.0,45.1,25.1,7.1,72.3,0.5
Sydney,Australia,2021-04-23,14.1,5.8,10.4,0.52,2.2,49.8,1.3,3.6,45.0,11.1
Stockholm,Sweden,2015-07-26,5.0,3.0,4.7,1.14,1.2,53.9,0.7,0.3,78.9,10.3
Bangkok,Thailand,2023-11-23,79.9,48.6,78.2,4.74,10.3,58.6,7.0,38.1,44.7,14.5
Mumbai,India,2019-03-01,245.4,168.4,230.8,1.75,54.6,77.8,14.6,-4.0,24.2,1.3
Mumbai,India,2023-03-22,195.4,119.5,162.5,3.36,45.1,77.4,9.8,6.2,89.6,14.0
Los Angeles,USA,2021-07-22,47.0,,38.0,1.15,12.3,28.1,4.5,37.2,33.9,14.7
Dhaka,Bangladesh,2021-07-19,180.2,102.1,144.9,1.79,33.3,38.6,14.1,38.8,31.5,11.1
Buenos Aires,Argentina,2017-02-23,88.2,42.9,61.4,3.36,21.4,61.3,7.2,6.3,91.7,13.9
Stockholm,Sweden,2024-11-07,35.4,23.1,37.4,2.29,4.6,45.6,3.7,-4.0,53.3,11.8
Nairobi,Kenya,2019-02-20,36.7,21.0,29.6,1.13,5.8,77.4,4.5,24.8,81.3,2.3
Bangkok,Thailand,2022-08-26,49.0,28.4,43.5,4.13,12.8,70.7,3.0,38.6,92.0,5.7
Tokyo,Japan,2024-03-02,5.0,2.4,3.6,,0.9,77.9,0.6,30.6,42.0,1.6
Dhaka,Bangladesh,2021-02-22,201.0,99.4,143.2,4.78,38.0,30.5,14.0,7.6,94.9,4.4
Nairobi,Kenya,2022-04-21,64.8,31.2,57.3,4.46,9.4,47.8,6.3,34.3,77.2,7.9
Paris,France,2015-09-16,42.6,27.9,36.4,2.19,12.0,64.4,4.4,18.8,46.1,8.0
Lahore,Pakistan,2019-02-27,219.5,144.5,203.5,2.42,39.9,61.2,16.5,23.8,,6.6
Nairobi,Kenya,2020-05-26,61.1,42.7,58.6,1.4,,77.5,3.7,-4.3,32.1,14.9
Mexico City,Mexico,2015-08-08,146.1,59.3,102.2,1.6,39.8,37.0,17.3,25.3,36.6,1.0
Los Angeles,USA,2017-03-13,55.3,35.5,66.1,2.45,12.2,56.3,7.3,14.1,40.7,4.3
Ho Chi Minh City,Vietnam,2015-04-08,143.8,82.9,131.4,3.36,36.5,77.6,14.4,0.0,53.1,7.4
Stockholm,Sweden,2020-03-25,23.7,12.3,24.2,2.58,7.0,20.5,3.3,36.9,92.1,0.7
Buenos Aires,Argentina,2017-02-21,62.2,26.1,37.9,2.71,13.0,22.1,4.2,17.5,64.5,2.7
Berlin,Germany,2019-02-17,42.9,28.8,57.6,4.94,11.9,43.7,5.1,13.7,68.6,5.0
Jakarta,Indonesia,2022-10-20,106.7,68.0,89.0,1.68,10.8,42.6,6.0,36.1,,7.2
Chengdu,China,2019-12-07,160.7,94.5,174.8,3.35,40.1,74.4,21.9,25.3,36.1,9.7
Tehran,Iran,2020-10-08,164.1,102.2,193.4,0.6,17.4,35.5,23.0,32.1,71.2,10.7
Tehran,Iran,2019-10-27,155.7,106.3,200.1,3.23,36.3,32.8,18.0,14.1,31.5,12.2
Mumbai,India,2016-03-23,96.6,42.1,67.4,,12.8,36.9,7.1,28.0,22.3,9.5
Dhaka,Bangladesh,2020-06-09,144.0,78.4,153.0,,35.9,31.8,18.4,,47.1,3.6
Cairo,Egypt,2016-09-23,113.9,70.7,97.6,4.09,17.2,34.9,12.4,-1.8,22.0,4.3
Chengdu,China,2023-07-16,206.8,98.5,146.2,2.91,37.7,76.9,13.0,38.8,37.3,11.7
Tehran,Iran,2024-08-19,172.1,98.1,159.9,2.63,,25.3,20.1,35.3,,2.5
Stockholm,Sweden,2020-08-29,5.0,2.6,3.6,2.68,0.6,48.6,0.6,6.6,56.1,14.9
London,UK,2024-08-28,36.4,22.9,30.5,0.88,5.1,44.1,4.9,10.6,69.1,10.8
Nairobi,Kenya,2023-01-05,114.5,58.1,99.0,1.91,13.4,79.6,7.2,-1.7,85.9,4.9
Mexico City,Mexico,2018-08-04,79.4,38.0,58.6,2.23,19.4,50.7,11.5,-3.1,57.7,9.0
Lima,Peru,2015-09-02,26.8,11.1,18.9,4.31,4.0,72.6,1.4,28.0,90.0,10.0
Ho Chi Minh City,Vietnam,2023-07-01,115.6,70.2,114.9,0.88,16.5,23.9,12.4,23.0,57.9,12.3
Mumbai,India,2017-12-05,179.1,104.7,137.1,3.57,,53.9,20.6,10.8,88.8,2.4
Paris,France,2018-02-11,14.2,6.6,,2.38,1.5,39.2,1.9,26.0,74.4,10.6
Paris,France,2024-02-14,5.0,2.1,3.2,4.21,1.5,49.6,0.3,1.3,44.2,8.9
Johannesburg,South Africa,2020-08-30,85.2,57.4,106.0,3.85,18.9,57.6,9.7,23.3,61.5,14.8
Beijing,China,2020-01-21,175.8,111.3,212.7,1.31,20.5,49.0,17.8,,53.3,8.8
Sydney,Australia,2022-04-02,38.2,24.8,35.0,3.09,8.4,29.9,2.4,39.1,49.5,3.8
Beijing,China,2020-04-09,147.1,88.3,152.4,3.32,17.3,73.6,13.1,9.1,54.7,6.2
Lahore,Pakistan,2021-10-13,164.0,108.1,199.7,4.67,24.5,54.6,12.7,32.1,20.4,8.7
Karachi,Pakistan,2024-10-20,183.1,90.9,159.3,4.3,40.6,71.2,14.0,18.4,53.8,0.7
Ho Chi Minh City,Vietnam,2016-08-23,159.5,99.0,168.4,0.61,19.7,55.8,12.4,-1.4,52.2,8.5
Dhaka,Bangladesh,2021-04-18,226.9,139.8,244.7,1.86,56.9,58.9,25.8,19.9,20.9,10.6
London,UK,2021-10-18,5.0,2.3,3.5,2.54,0.8,50.9,0.3,39.0,28.1,14.0
Karachi,Pakistan,2020-07-26,186.0,103.7,187.5,2.35,42.0,40.4,14.9,21.0,57.4,8.9
Cairo,Egypt,2016-12-18,191.1,128.9,175.7,3.92,42.7,55.9,15.1,25.8,79.6,2.1
Dhaka,Bangladesh,2016-08-18,159.0,68.4,130.8,,41.6,42.1,9.9,-3.1,41.1,4.0
Berlin,Germany,2019-12-06,42.5,22.0,37.5,3.6,9.6,79.1,2.7,14.3,51.9,6.5
Chengdu,China,2020-06-09,147.5,80.7,134.1,2.33,44.0,75.7,11.9,0.0,83.0,15.0
Paris,France,2015-03-22,63.6,39.0,58.8,3.03,18.4,68.7,7.9,28.2,33.4,12.5
Lagos,Nigeria,2018-03-10,105.0,71.3,110.9,4.33,16.1,50.9,6.4,24.7,82.7,10.9
Tehran,Iran,2021-01-07,170.7,109.0,,2.37,42.1,57.5,23.1,31.1,23.1,6.0
São Paulo,Brazil,2022-05-29,105.7,45.5,78.3,4.41,13.1,47.1,14.9,31.6,59.0,11.7
Cairo,Egypt,2020-05-01,114.3,77.6,144.3,2.33,22.7,35.9,13.8,31.1,37.9,1.1
Istanbul,Turkey,2020-01-14,62.1,35.3,55.8,3.33,13.0,35.0,5.6,14.3,,14.4
Cairo,Egypt,2015-07-24,148.8,90.3,176.8,1.47,,61.4,17.6,6.4,64.0,12.0
Johannesburg,South Africa,2018-06-19,138.6,88.4,137.2,4.71,28.7,55.8,7.4,2.7,67.5,6.6
Lima,Peru,2022-12-30,57.0,33.6,63.0,3.31,9.2,59.4,4.0,9.3,38.0,8.6
Cairo,Egypt,2021-09-15,146.3,99.5,152.6,1.33,29.2,36.6,15.1,10.7,29.9,4.4
London,UK,2020-04-08,86.1,48.6,83.2,4.69,8.8,22.9,6.0,2.5,33.6,10.2
Chengdu,China,2018-09-03,209.4,146.1,213.1,1.76,62.2,69.9,20.3,20.0,83.2,7.5
Cairo,Egypt,2015-09-05,151.6,103.6,166.9,3.12,29.6,76.0,8.7,17.6,71.5,12.0
Tehran,Iran,2017-08-07,194.6,130.9,256.5,0.6,35.1,21.4,16.1,19.2,88.3,12.8
Los Angeles,USA,2016-03-03,60.5,33.9,50.3,4.53,,44.2,8.4,12.3,75.3,7.4
Lahore,Pakistan,2015-03-25,145.0,98.3,159.1,3.75,25.1,21.1,8.7,17.3,71.7,5.4
Los Angeles,USA,2021-07-17,87.3,47.8,92.7,2.6,16.6,32.0,7.0,-3.1,67.5,4.1
São Paulo,Brazil,2021-10-14,111.4,71.5,130.9,1.98,33.2,35.8,8.4,29.8,52.6,5.3
Bangkok,Thailand,2017-09-02,121.9,69.5,136.9,1.8,17.5,60.6,15.3,5.1,25.7,12.3
Dhaka,Bangladesh,2020-07-12,195.3,115.9,173.2,4.98,54.4,50.8,25.9,31.7,90.1,12.7
Buenos Aires,Argentina,2024-09-03,44.1,25.9,48.2,4.85,8.5,54.4,4.2,25.1,67.2,0.8
Lahore,Pakistan,2015-10-31,239.9,102.3,134.9,4.02,36.4,40.4,13.5,3.1,77.4,7.7
Lagos,Nigeria,2016-06-12,64.8,32.7,58.7,2.91,18.2,56.1,6.4,30.4,91.1,5.7
Stockholm,Sweden,2019-08-09,9.9,5.8,9.5,4.95,1.9,24.5,1.5,33.0,33.4,13.6
Paris,France,2021-06-08,37.9,23.3,36.6,1.29,8.6,78.6,3.1,15.7,70.6,8.4
Ho Chi Minh City,Vietnam,2018-03-06,175.7,110.4,148.1,4.99,44.0,71.8,20.2,33.5,28.4,5.5
Johannesburg,South Africa,2024-02-11,121.4,67.3,115.0,1.14,,31.3,7.4,19.6,73.2,1.2
São Paulo,Brazil,2024-09-08,48.7,31.2,58.3,1.45,10.9,46.6,5.5,33.8,26.0,11.8
Paris,France,2021-05-18,106.0,71.8,96.1,0.44,14.4,79.2,12.9,22.7,23.5,13.2
Sydney,Australia,2015-03-08,59.2,35.5,54.5,0.63,12.8,63.2,3.5,23.5,41.5,11.6
Lagos,Nigeria,2020-03-19,112.3,58.3,83.1,4.26,11.5,38.7,5.8,-0.7,42.3,1.3
Johannesburg,South Africa,2018-06-07,57.4,24.5,43.8,0.55,6.4,38.3,8.0,23.9,77.8,2.6
Cairo,Egypt,2017-03-23,84.4,58.7,77.6,4.99,19.0,53.5,4.7,7.3,89.3,5.6
Ho Chi Minh City,Vietnam,2017-08-28,172.4,120.7,179.1,,41.3,29.9,11.2,15.5,48.9,10.9
Sydney,Australia,2021-05-15,72.8,32.1,45.1,4.03,20.2,37.0,6.8,11.0,25.4,10.3
Nairobi,Kenya,2016-12-31,141.1,84.5,130.1,3.51,14.7,64.1,13.9,31.6,91.6,13.9
Dhaka,Bangladesh,2024-04-19,107.6,58.1,103.5,4.45,15.2,75.1,14.2,39.0,86.0,4.6
Los Angeles,USA,2016-01-13,60.9,26.4,39.7,3.19,15.9,74.0,6.8,-4.7,34.0,1.9
Mumbai,India,2017-05-17,161.9,81.7,116.5,3.34,31.2,49.7,15.0,38.0,36.1,8.0
Toronto,Canada,2022-02-26,40.1,22.7,44.3,2.08,7.7,25.3,4.4,8.0,32.0,8.4
Los Angeles,USA,2023-07-17,61.5,36.1,51.7,2.51,15.0,51.8,5.5,9.5,65.8,14.1
Istanbul,Turkey,2020-07-30,81.1,34.2,55.6,4.49,9.6,79.3,11.7,-1.5,90.0,5.8
Lahore,Pakistan,2015-03-16,125.4,74.0,136.4,0.46,27.4,31.2,10.6,10.7,55.2,5.3
Karachi,Pakistan,2023-12-31,108.5,57.0,92.0,4.19,13.0,62.2,9.1,8.9,89.9,4.1
Delhi,India,2021-10-09,181.7,115.5,221.5,,39.3,34.9,21.1,26.9,20.8,6.9
Dhaka,Bangladesh,2016-11-10,121.4,66.4,100.8,4.4,15.9,32.4,14.4,10.9,73.5,2.8
Lima,Peru,2017-10-30,23.7,9.6,13.5,2.28,2.7,50.6,2.3,29.5,69.5,7.0
Cairo,Egypt,2018-10-23,100.2,61.9,111.2,1.02,28.4,23.9,5.6,3.4,88.2,8.0
Bangkok,Thailand,2023-01-19,98.3,49.9,93.8,0.41,14.6,29.2,13.4,16.0,50.3,7.0
Istanbul,Turkey,2018-05-01,48.3,,56.7,1.67,6.4,75.3,4.5,7.5,55.3,13.8
Karachi,Pakistan,2017-06-17,210.7,111.3,162.9,4.97,61.4,70.6,25.0,8.3,88.5,4.5
Karachi,Pakistan,2024-02-13,178.4,120.5,207.5,4.07,46.1,31.6,20.8,-0.8,58.1,2.9
Johannesburg,South Africa,2020-03-26,100.3,,109.3,2.55,24.1,75.3,8.8,35.6,88.8,14.0
Cairo,Egypt,2023-06-20,71.0,37.0,70.6,1.99,15.6,27.1,4.0,13.5,63.4,6.2
Berlin,Germany,2016-03-29,15.8,7.1,11.2,3.03,4.6,24.1,1.6,9.8,58.1,0.8
Ho Chi Minh City,Vietnam,2017-06-28,176.3,113.9,192.2,2.42,27.7,37.9,15.6,,92.5,6.9
Los Angeles,USA,2018-12-25,47.7,27.0,39.5,3.79,9.9,68.5,6.1,4.7,73.7,12.1
Buenos Aires,Argentina,2015-05-22,99.5,44.9,58.5,2.42,17.0,53.3,6.8,,39.3,3.8
Los Angeles,USA,2021-02-03,10.0,4.8,6.8,3.68,2.5,47.7,1.2,28.1,30.4,14.5
Bangkok,Thailand,2017-09-26,99.8,,65.9,0.89,12.7,64.9,9.7,30.2,76.0,9.3
Johannesburg,South Africa,2019-02-17,48.4,30.5,48.7,2.45,9.8,69.9,5.6,10.7,70.3,9.8
Chengdu,China,2023-12-15,208.5,136.0,,1.91,53.4,54.5,31.0,6.1,26.0,1.5
Chengdu,China,2022-09-09,186.5,115.6,179.0,4.16,20.3,65.3,14.3,16.5,81.7,4.4
Nairobi,Kenya,2023-05-25,118.1,71.4,119.4,2.72,17.9,22.1,10.7,-0.2,87.9,1.1
Stockholm,Sweden,2023-09-16,67.3,27.6,35.9,0.67,17.0,55.1,3.6,17.0,73.4,13.1
São Paulo,Brazil,2018-07-08,120.3,,123.1,3.99,16.8,27.9,14.1,20.2,,11.2
Wuhan,China,2023-10-18,160.7,69.7,131.0,1.48,41.0,77.4,19.2,21.8,54.5,5.8
Dhaka,Bangladesh,2018-01-07,184.5,109.0,199.1,3.49,25.8,49.6,23.8,16.4,60.2,11.7
Sydney,Australia,2023-01-24,61.7,27.7,55.3,0.86,6.4,73.4,4.6,,80.8,13.0
Seoul,South Korea,2015-06-23,78.9,38.5,69.2,0.84,14.3,70.9,6.8,21.6,57.8,9.9
Lagos,Nigeria,2022-06-06,113.2,74.6,122.1,0.67,24.0,39.9,7.4,,59.1,14.0
Stockholm,Sweden,2021-11-26,10.9,6.6,8.6,2.31,1.5,74.6,0.7,7.9,58.8,4.3
Lagos,Nigeria,2016-12-06,109.2,57.4,105.9,3.75,23.5,69.3,11.6,38.4,36.3,10.9
Los Angeles,USA,2021-11-26,5.0,2.4,3.4,2.9,0.7,32.0,0.7,31.1,76.1,12.0
Los Angeles,USA,2020-05-31,12.1,7.9,14.4,2.25,2.3,44.7,1.7,10.5,92.3,13.7
Stockholm,Sweden,2019-08-07,41.2,23.7,36.9,0.39,,65.3,4.0,1.7,39.8,14.2
São Paulo,Brazil,2020-08-24,29.6,19.5,33.7,3.19,6.1,25.5,2.8,40.0,82.6,13.5
Tehran,Iran,2018-03-30,125.0,53.9,78.6,0.31,20.1,26.5,12.2,25.5,85.6,11.4
Tokyo,Japan,2020-02-28,28.0,18.9,,2.98,8.0,51.8,2.4,30.9,53.2,5.1
Wuhan,China,2021-10-28,153.6,98.4,182.5,4.9,39.5,66.2,20.9,-5.0,47.2,11.2
Toronto,Canada,2020-07-15,23.5,11.8,20.0,4.21,6.7,65.0,3.2,16.2,49.2,6.2
Johannesburg,South Africa,2022-01-22,62.8,31.8,54.8,1.77,17.7,72.2,6.6,9.6,42.0,1.0
London,UK,2018-01-31,5.0,2.7,5.1,0.89,1.4,73.9,0.7,12.9,36.3,5.9
Dhaka,Bangladesh,2023-07-06,158.5,106.9,195.2,4.69,25.9,76.4,13.8,-2.6,77.2,10.7
Tokyo,Japan,2019-01-19,44.6,26.2,41.7,2.93,8.3,78.0,4.9,28.7,90.2,9.1
Johannesburg,South Africa,2015-10-17,89.7,36.8,65.9,1.61,19.4,32.1,6.9,17.7,,9.4
Delhi,India,2022-10-12,202.8,98.9,167.5,0.77,57.7,28.4,14.7,20.1,77.3,9.5
Mumbai,India,2023-01-19,171.0,68.5,125.3,4.93,44.8,47.6,24.0,13.4,59.4,7.4
Los Angeles,USA,2016-09-29,59.5,29.4,43.6,0.48,12.9,33.8,3.9,24.4,71.1,11.4
Beijing,China,2023-05-01,206.0,137.6,269.1,4.09,46.8,38.2,30.5,7.3,35.2,6.9
Lahore,Pakistan,2024-01-10,209.1,131.7,209.6,0.38,46.8,23.8,12.7,24.3,43.4,5.5
Tehran,Iran,2020-06-15,112.9,78.3,154.7,2.26,17.3,38.2,8.7,19.0,65.5,7.6
Johannesburg,South Africa,2024-04-07,87.3,43.9,,3.47,19.8,47.7,9.2,7.8,21.8,9.6
Beijing,China,2017-03-17,115.7,69.5,126.7,4.6,33.7,20.6,17.2,25.7,68.3,0.7
Paris,France,2016-06-08,54.1,21.9,38.3,2.34,7.6,26.5,5.1,0.5,56.5,9.6
Bangkok,Thailand,2015-03-25,93.6,56.5,76.0,1.74,14.8,74.9,12.8,11.7,25.3,13.5
Toronto,Canada,2022-01-30,44.2,24.1,34.3,2.54,8.8,49.4,4.6,,47.5,6.8
Chengdu,China,2017-03-30,164.4,105.7,198.7,2.23,33.5,22.0,19.3,13.2,53.4,13.2
Ho Chi Minh City,Vietnam,2016-03-25,52.5,34.6,58.1,3.54,10.2,46.4,5.0,13.5,60.4,4.1
Lagos,Nigeria,2024-01-17,85.0,42.5,59.6,0.75,8.7,45.4,5.8,-4.0,59.0,10.4
Stockholm,Sweden,2022-11-03,79.8,55.5,98.1,1.45,19.4,55.9,5.7,33.3,52.1,14.4
Mumbai,India,2020-12-26,172.0,102.1,184.7,,34.6,71.1,20.3,35.4,86.8,14.7
Buenos Aires,Argentina,2017-03-16,26.8,16.4,24.7,1.63,4.0,72.5,3.7,23.4,55.5,10.2
Toronto,Canada,2023-09-15,40.3,20.7,32.4,3.07,9.2,47.1,5.9,-1.2,46.0,6.6
Ho Chi Minh City,Vietnam,2018-11-15,86.2,46.8,71.3,1.55,25.3,29.6,11.1,39.3,21.5,10.6
Delhi,India,2021-04-11,187.1,119.3,232.2,3.43,27.5,73.7,12.8,4.6,40.3,4.9
Sydney,Australia,2017-09-19,46.7,19.9,39.2,4.63,5.2,41.6,6.1,22.5,78.4,10.9
Chengdu,China,2016-10-28,165.9,68.4,116.9,0.53,36.6,68.0,18.0,39.9,54.2,11.4
Ho Chi Minh City,Vietnam,2023-08-15,116.4,69.5,133.4,3.01,19.9,69.3,14.9,19.5,31.6,4.1
Paris,France,2019-10-26,53.2,,51.0,2.03,6.1,62.8,2.7,-2.9,20.3,9.9
Tehran,Iran,2020-04-15,155.6,71.2,112.0,4.72,28.9,53.3,9.0,30.6,51.7,12.1
London,UK,2022-03-22,37.3,19.7,,4.88,4.2,68.7,3.0,19.8,41.8,9.4
Los Angeles,USA,2021-09-21,47.4,21.1,40.9,4.99,12.1,37.2,4.3,28.3,92.6,7.1
Dhaka,Bangladesh,2017-04-11,172.3,,228.0,1.37,17.5,49.5,17.8,4.1,41.4,11.6
Ho Chi Minh City,Vietnam,2016-05-22,160.3,95.5,175.6,1.04,39.8,56.0,8.9,30.0,48.7,5.3
Wuhan,China,2016-03-16,114.9,57.9,,4.1,14.3,78.2,12.1,3.2,29.8,9.1
Lahore,Pakistan,2016-06-09,182.2,96.7,149.1,0.39,48.3,28.6,14.8,20.6,38.4,7.7
Nairobi,Kenya,2018-11-26,107.5,58.2,114.3,4.28,17.9,44.0,9.9,23.2,41.5,14.6
Ho Chi Minh City,Vietnam,2016-05-18,180.3,93.5,175.1,2.97,19.5,30.6,24.6,20.3,91.3,1.6
Dhaka,Bangladesh,2021-05-16,140.1,64.2,108.3,2.1,18.4,58.6,14.5,7.4,56.0,11.3
Nairobi,Kenya,2017-11-27,117.5,76.8,120.1,1.69,32.6,80.0,13.7,39.5,69.5,11.1
Istanbul,Turkey,2021-10-06,71.6,38.0,53.2,4.17,20.5,57.4,6.0,1.9,,4.2
Ho Chi Minh City,Vietnam,2021-10-13,136.4,84.4,165.9,4.22,38.3,68.9,13.1,6.3,47.8,0.8
